S.No,STATE,DISTRICT,Total Rainfall (mm),Recharge Worthy Area (ha),Hilly Area (ha),Total Geographical Area (ha),Goundwater Recharge (ham) - Total Rainfall Recharge,Goundwater Recharge (ham) - Canals,Ground Water Recharge (ham) - Surface Water Irrigation,Ground Water Recharge (ham) - Total Ground Water Irrigration,Ground Water Recharge (ham) - Tanks and Ponds,Ground Water Recharge (ham) - Water Conservation Structure,Ground Water Recharge (ham) - Total,Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ham) - Domestic,Ground Water Extraction for all uses (ham) - Industrial,Ground Water Extraction for all uses (ham) - Irrigation,Ground Water Extraction for all uses (ham) - Total,Stage of Ground Water Extraction (%) ,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham),In-Storage Unconfined Ground Water Resources(ham) - Fresh,In-Storage Unconfined Ground Water Resources(ham) - Saline,Total Ground Water Availability in Unconfined Aquifier (ham) - Fresh,Total Ground Water Availability in Unconfined Aquifier (ham) - Saline,Total Ground Water Availability in the area (ham) - Fresh,Total Ground Water Availability in the area (ham) - Saline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,3016,58040,286106,344146,16376,0,0,0,152,0,16528,16528,1653,14875,262,83,1,346,2,269,14522,0,0,14875,0,14875,0
2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2805,38075,156091,194166,11345,0,0,0,16,0,11361,11361,1136,10225,91,1,0,93,1,91,9819,0,0,9911,314,9911,314
3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,3016,31524,215321,246845,10777,0,0,0,20,0,10798,10798,1080,9718,323,14,11,347,4,332,9362,0,0,9718,0,9718,0
4,ANDHRA PRADESH,Alluri Sitharama Raju,1258,639235,586108,1225342,46194,,3292,16,68,3187,52756,52756,2638,50118,1580,0,566,2146,4,2173,47784,0,0,50118,0,50118,0
5,ANDHRA PRADESH,Anakapalli,1183,346481,82764,429245,35193,2016,25958,3222,2040,4456,72897,72897,3645,69252,4958,489,16277,21724,31,8163,45061,1247986,0,1317239,0,1317239,0
6,ANDHRA PRADESH,Ananthapuramu,515,946479,97832,1044311,42309,8480,7388,8421,5492,54031,126120,126120,6306,119814,3467,727,37625,41819,35,3467,78908,0,0,119814,0,119814,0
7,ANDHRA PRADESH,Annamayya,748,666066,128462,794528,47530,29,1029,8234,8481,24089,89393,89393,4470,84923,3826,138,29286,33250,39,4540,51486,0,0,84923,0,84923,0
8,ANDHRA PRADESH,Bapatla,827,380118,2767,382885,31662,9791,51449,3570,939,6858,104269,104269,5214,99056,2387,64,15512,17963,26,2590,51239,722005,246755,791031,276786,791031,276786
9,ANDHRA PRADESH,Chittoor,906,600451,85448,685899,53652,,471,11208,7593,10103,83026,83026,4151,78875,4287,1413,37805,43505,55,6211,35646,3225231,0,3304106,0,3304106,0
10,ANDHRA PRADESH,East Godavari,1145,254553,3082,257635,28299,14268,44450,7536,15611,2720,112883,112883,5644,107239,2316,1313,32622,36251,34,2811,71815,0,0,107239,0,107239,0
11,ANDHRA PRADESH,Eluru,1079,649190,10632,659822,67257,11520,46842,9982,24133,11624,171357,171357,8568,162789,10195,517,37034,47745,35,11873,89549,4299127,767183,4436043,793057,4436043,793057
12,ANDHRA PRADESH,Guntur,895,242333,2971,245304,20890,14480,26469,1895,760,475,64970,64970,3248,61721,2589,230,7929,10747,21,3065,39593,425280,368173,476057,379118,476057,379118
13,ANDHRA PRADESH,Kakinada,1104,288917,13063,301980,24832,18130,94013,2955,2575,3336,145841,145841,7292,138549,2156,4568,15677,22401,17,2250,90093,0,0,108766,29783,108766,29783
14,ANDHRA PRADESH,Konaseema,1305,207995,101,208096,32058,33019,74380,1625,433,404,141919,141919,7096,134822,1310,64,9393,10767,11,1557,91277,0,0,102277,32545,102277,32545
15,ANDHRA PRADESH,Krishna,1057,388056,0,388056,53422,54420,91450,8038,391,9697,217419,217419,10871,206548,2254,1035,45712,49000,32,2838,101943,1050914,1220026,1202040,1275448,1202040,1275448
16,ANDHRA PRADESH,Kurnool,610,752247,45494,797741,38735,8628,11773,2946,1868,4123,68073,68073,3404,64669,5587,71,14075,19733,31,6349,44553,0,0,64669,0,64669,0
17,ANDHRA PRADESH,NTR,1032,306319,11805,318124,22037,14397,20971,6719,2297,6883,73305,73305,3665,69639,2440,1218,21105,24763,36,2557,44937,0,0,69639,0,69639,0
18,ANDHRA PRADESH,Nandyal,716,706182,262433,968615,22795,1953,54189,3364,14562,9515,106377,106377,5319,101058,505,128,12159,12792,13,506,88266,0,0,101058,0,101058,0
19,ANDHRA PRADESH,Palnadu,751,651656,78467,730124,28215,7366,57597,8364,2566,10388,114497,114497,5725,108772,4520,66,35978,40564,38,4830,70416,1522220,116087,1629099,117980,1629099,117980
20,ANDHRA PRADESH,Parvathipuram Manyam,1168,294881,119995,414876,33007,745,18277,5075,30128,6670,93903,93903,4695,89208,1767,13,20728,22508,25,2377,67917,0,0,89208,0,89208,0
21,ANDHRA PRADESH,Prakasam,790,1131229,293771,1425000,66596,1110,2574,4133,8227,18466,101107,101107,5056,96051,4870,510,42096,47477,50,5436,54724,5543723,205122,5636653,208242,5636653,208242
22,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,1040,995326,50358,1045685,91789,11238,58783,14710,11951,1880,190351,190351,9518,180833,5687,1106,37344,44137,24,7940,136912,1728433,0,1909264,2,1909264,2
