column_name,description,relationship
S.No,Serial number for entry identification,
STATE,Name of the Indian state,
DISTRICT,Name of the district within a state,BELONGS_TO:STATE
ASSESSMENT UNIT,Smallest administrative or hydrological unit assessed for groundwater estimation,BELONGS_TO:DISTRICT|STATE
Rainfall (mm)_C,Rainfall (in mm) in command areas (irrigated by canals),PART_OF:Rainfall (mm)_Total
Rainfall (mm)_NC,Rainfall (in mm) in non-command areas (not covered by canal irrigation),PART_OF:Rainfall (mm)_Total
Rainfall (mm)_PQ,Rainfall (in mm) in poor quality areas (highly saline or otherwise unfit for conventional use),PART_OF:Rainfall (mm)_Total
Rainfall (mm)_Total,Total rainfall (in mm) for the assessment unit (sum of categories),SUM_OF:Rainfall (mm)_C|Rainfall (mm)_NC|Rainfall (mm)_PQ
Total Geographical Area (ha)_Recharge Worthy Area (ha)_C,Area (in hectares) within command areas suitable for groundwater recharge,PART_OF:Total Geographical Area (ha)_Recharge Worthy Area (ha)_Total
Total Geographical Area (ha)_Recharge Worthy Area (ha)_NC,Area (ha) in non-command suitable for recharge,PART_OF:Total Geographical Area (ha)_Recharge Worthy Area (ha)_Total
Total Geographical Area (ha)_Recharge Worthy Area (ha)_PQ,Area (ha) in poor quality regions suitable for recharge,PART_OF:Total Geographical Area (ha)_Recharge Worthy Area (ha)_Total
Total Geographical Area (ha)_Recharge Worthy Area (ha)_Total,Total area suitable for recharge,PART_OF:Total Geographical Area (ha)_Total
Total Geographical Area (ha)_Hilly Area,Area classified as hilly and less recharge-worthy,PART_OF:Total Geographical Area (ha)_Total
Total Geographical Area (ha)_Total,Full area (ha) covered by the assessment unit or region,SUM_OF:Total Geographical Area (ha)_Recharge Worthy Area (ha)_Total|Total Geographical Area (ha)_Hilly Area
Ground Water Recharge (ham)_Rainfall Recharge_C,Groundwater recharge attributed to rainfall in command areas (in hectare-meters),PART_OF:Ground Water Recharge (ham)_Rainfall Recharge_Total
Ground Water Recharge (ham)_Rainfall Recharge_NC,Groundwater recharge attributed to rainfall in non-command areas,PART_OF:Ground Water Recharge (ham)_Rainfall Recharge_Total
Ground Water Recharge (ham)_Rainfall Recharge_PQ,Groundwater recharge attributed to rainfall in poor quality areas,PART_OF:Ground Water Recharge (ham)_Rainfall Recharge_Total
Ground Water Recharge (ham)_Rainfall Recharge_Total,Total groundwater recharge from rainfall,PART_OF:Ground Water Recharge (ham)_Total
Ground Water Recharge (ham)_Canals_C,Recharge contribution from canals in command areas,PART_OF:Ground Water Recharge (ham)_Canals_Total
Ground Water Recharge (ham)_Canals_NC,Recharge contribution from canals in non-command areas,PART_OF:Ground Water Recharge (ham)_Canals_Total
Ground Water Recharge (ham)_Canals_PQ,Recharge contribution from canals in poor quality areas,PART_OF:Ground Water Recharge (ham)_Canals_Total
Ground Water Recharge (ham)_Canals_Total,Total recharge from canals,PART_OF:Ground Water Recharge (ham)_Total
Ground Water Recharge (ham)_Surface Water Irrigation_C,Recharge from surface water irrigation in command areas,PART_OF:Ground Water Recharge (ham)_Surface Water Irrigation_Total
Ground Water Recharge (ham)_Surface Water Irrigation_NC,Recharge from surface water irrigation in non-command areas,PART_OF:Ground Water Recharge (ham)_Surface Water Irrigation_Total
Ground Water Recharge (ham)_Surface Water Irrigation_PQ,Recharge from surface water irrigation in poor quality areas,PART_OF:Ground Water Recharge (ham)_Surface Water Irrigation_Total
Ground Water Recharge (ham)_Surface Water Irrigation_Total,Total surface water irrigation recharge,PART_OF:Ground Water Recharge (ham)_Total
Ground Water Recharge (ham)_Ground Water Irrigation_C,Recharge resulting from groundwater irrigation return flow in command areas,PART_OF:Ground Water Recharge (ham)_Ground Water Irrigation_Total
Ground Water Recharge (ham)_Ground Water Irrigation_NC,Recharge resulting from groundwater irrigation return flow in non-command areas,PART_OF:Ground Water Recharge (ham)_Ground Water Irrigation_Total
Ground Water Recharge (ham)_Ground Water Irrigation_PQ,Recharge resulting from groundwater irrigation return flow in poor quality areas,PART_OF:Ground Water Recharge (ham)_Ground Water Irrigation_Total
Ground Water Recharge (ham)_Ground Water Irrigation_Total,Total recharge by groundwater irrigation,PART_OF:Ground Water Recharge (ham)_Total
Ground Water Recharge (ham)_Tanks and Ponds_C,Recharge from water bodies like tanks and ponds in command areas,PART_OF:Ground Water Recharge (ham)_Tanks and Ponds_Total
Ground Water Recharge (ham)_Tanks and Ponds_NC,Recharge from tanks and ponds in non-command areas,PART_OF:Ground Water Recharge (ham)_Tanks and Ponds_Total
Ground Water Recharge (ham)_Tanks and Ponds_PQ,Recharge from tanks and ponds in poor quality areas,PART_OF:Ground Water Recharge (ham)_Tanks and Ponds_Total
Ground Water Recharge (ham)_Tanks and Ponds_Total,Total recharge from tanks and ponds,PART_OF:Ground Water Recharge (ham)_Total
Ground Water Recharge (ham)_Water Conservation Structure_C,Recharge from artificial structures for water conservation in command areas,PART_OF:Ground Water Recharge (ham)_Water Conservation Structure_Total
Ground Water Recharge (ham)_Water Conservation Structure_NC,Recharge from water conservation structures in non-command areas,PART_OF:Ground Water Recharge (ham)_Water Conservation Structure_Total
Ground Water Recharge (ham)_Water Conservation Structure_PQ,Recharge from water conservation structures in poor quality areas,PART_OF:Ground Water Recharge (ham)_Water Conservation Structure_Total
Ground Water Recharge (ham)_Water Conservation Structure_Total,Total recharge from all water conservation structures,PART_OF:Ground Water Recharge (ham)_Total
Ground Water Recharge (ham)_Pipelines_C,Recharge from seepage or leaks from pipelines in command areas,PART_OF:Ground Water Recharge (ham)_Pipelines_Total
Ground Water Recharge (ham)_Pipelines_NC,Recharge from pipelines in non-command areas,PART_OF:Ground Water Recharge (ham)_Pipelines_Total
Ground Water Recharge (ham)_Pipelines_PQ,Recharge from pipelines in poor quality areas,PART_OF:Ground Water Recharge (ham)_Pipelines_Total
Ground Water Recharge (ham)_Pipelines_Total,Total recharge from pipelines,PART_OF:Ground Water Recharge (ham)_Total
Ground Water Recharge (ham)_Sewages and Flash Flood Channels_C,Recharge from urban runoff and storm water channels in command areas,PART_OF:Ground Water Recharge (ham)_Sewages and Flash Flood Channels_Total
Ground Water Recharge (ham)_Sewages and Flash Flood Channels_NC,Recharge from sewage and flash flood channels in non-command areas,PART_OF:Ground Water Recharge (ham)_Sewages and Flash Flood Channels_Total
Ground Water Recharge (ham)_Sewages and Flash Flood Channels_PQ,Recharge from sewage and flood channels in poor quality areas,PART_OF:Ground Water Recharge (ham)_Sewages and Flash Flood Channels_Total
Ground Water Recharge (ham)_Sewages and Flash Flood Channels_Total,Total recharge from sewage and flash flood channels,PART_OF:Ground Water Recharge (ham)_Total
Ground Water Recharge (ham)_C,Aggregated groundwater recharge in command areas,SUM_OF:Ground Water Recharge (ham)_Rainfall Recharge_C|Ground Water Recharge (ham)_Canals_C|Ground Water Recharge (ham)_Surface Water Irrigation_C|Ground Water Recharge (ham)_Ground Water Irrigation_C|Ground Water Recharge (ham)_Tanks and Ponds_C|Ground Water Recharge (ham)_Water Conservation Structure_C|Ground Water Recharge (ham)_Pipelines_C|Ground Water Recharge (ham)_Sewages and Flash Flood Channels_C
Ground Water Recharge (ham)_NC,Aggregated groundwater recharge in non-command areas,SUM_OF:Ground Water Recharge (ham)_Rainfall Recharge_NC|Ground Water Recharge (ham)_Canals_NC|Ground Water Recharge (ham)_Surface Water Irrigation_NC|Ground Water Recharge (ham)_Ground Water Irrigation_NC|Ground Water Recharge (ham)_Tanks and Ponds_NC|Ground Water Recharge (ham)_Water Conservation Structure_NC|Ground Water Recharge (ham)_Pipelines_NC|Ground Water Recharge (ham)_Sewages and Flash Flood Channels_NC
Ground Water Recharge (ham)_PQ,Aggregated groundwater recharge in poor quality areas,SUM_OF:Ground Water Recharge (ham)_Rainfall Recharge_PQ|Ground Water Recharge (ham)_Canals_PQ|Ground Water Recharge (ham)_Surface Water Irrigation_PQ|Ground Water Recharge (ham)_Ground Water Irrigation_PQ|Ground Water Recharge (ham)_Tanks and Ponds_PQ|Ground Water Recharge (ham)_Water Conservation Structure_PQ|Ground Water Recharge (ham)_Pipelines_PQ|Ground Water Recharge (ham)_Sewages and Flash Flood Channels_PQ
Ground Water Recharge (ham)_Total,Total aggregated groundwater recharge,SUM_OF:Ground Water Recharge (ham)_C|Ground Water Recharge (ham)_NC|Ground Water Recharge (ham)_PQ
Inflows and Outflows (ham)_Base Flow_C,Groundwater flowing out to streams (base flow) in command areas,PART_OF:Inflows and Outflows (ham)_Base Flow_Total
Inflows and Outflows (ham)_Base Flow_NC,Base flow to streams in non-command areas,PART_OF:Inflows and Outflows (ham)_Base Flow_Total
Inflows and Outflows (ham)_Base Flow_PQ,Base flow to streams in poor quality areas,PART_OF:Inflows and Outflows (ham)_Base Flow_Total
Inflows and Outflows (ham)_Base Flow_Total,Total base flow in all areas,PART_OF:Inflows and Outflows (ham)_Total
Inflows and Outflows (ham)_Stream Recharges_C,Stream contributions to groundwater recharge in command areas,PART_OF:Inflows and Outflows (ham)_Stream Recharges_Total
Inflows and Outflows (ham)_Stream Recharges_NC,Stream recharge in non-command areas,PART_OF:Inflows and Outflows (ham)_Stream Recharges_Total
Inflows and Outflows (ham)_Stream Recharges_PQ,Stream recharge in poor quality areas,PART_OF:Inflows and Outflows (ham)_Stream Recharges_Total
Inflows and Outflows (ham)_Stream Recharges_Total,Total recharge from streams,PART_OF:Inflows and Outflows (ham)_Total
Inflows and Outflows (ham)_Lateral Flows_C,Groundwater flow from adjacent units in command areas,PART_OF:Inflows and Outflows (ham)_Lateral Flows_Total
Inflows and Outflows (ham)_Lateral Flows_NC,Lateral groundwater flows in non-command areas,PART_OF:Inflows and Outflows (ham)_Lateral Flows_Total
Inflows and Outflows (ham)_Lateral Flows_PQ,Lateral flows in poor quality areas,PART_OF:Inflows and Outflows (ham)_Lateral Flows_Total
Inflows and Outflows (ham)_Lateral Flows_Total,Total lateral groundwater flows,PART_OF:Inflows and Outflows (ham)_Total
Inflows and Outflows (ham)_Vertical Flows_C,Groundwater exchanged with deeper aquifers (vertical movement) in command areas,PART_OF:Inflows and Outflows (ham)_Vertical Flows_Total
Inflows and Outflows (ham)_Vertical Flows_NC,Vertical groundwater flows in non-command areas,PART_OF:Inflows and Outflows (ham)_Vertical Flows_Total
Inflows and Outflows (ham)_Vertical Flows_PQ,Vertical groundwater flows in poor quality areas,PART_OF:Inflows and Outflows (ham)_Vertical Flows_Total
Inflows and Outflows (ham)_Vertical Flows_Total,Total vertical groundwater flows,PART_OF:Inflows and Outflows (ham)_Total
Inflows and Outflows (ham)_Evaporation_C,Groundwater loss via evaporation in command areas,PART_OF:Inflows and Outflows (ham)_Evaporation_Total
Inflows and Outflows (ham)_Evaporation_NC,Evaporation loss in non-command areas,PART_OF:Inflows and Outflows (ham)_Evaporation_Total
Inflows and Outflows (ham)_Evaporation_PQ,Evaporation loss in poor quality areas,PART_OF:Inflows and Outflows (ham)_Evaporation_Total
Inflows and Outflows (ham)_Evaporation_Total,Total groundwater lost by evaporation,PART_OF:Inflows and Outflows (ham)_Total
Inflows and Outflows (ham)_Transpiration_C,Groundwater loss by plant transpiration in command areas,PART_OF:Inflows and Outflows (ham)_Transpiration_Total
Inflows and Outflows (ham)_Transpiration_NC,Transpiration loss in non-command areas,PART_OF:Inflows and Outflows (ham)_Transpiration_Total
Inflows and Outflows (ham)_Transpiration_PQ,Transpiration loss in poor quality areas,PART_OF:Inflows and Outflows (ham)_Transpiration_Total
Inflows and Outflows (ham)_Transpiration_Total,Total groundwater lost by transpiration,PART_OF:Inflows and Outflows (ham)_Total
Inflows and Outflows (ham)_Evapotranspiration_C,Total water lost to air through evaporation and transpiration in command areas,PART_OF:Inflows and Outflows (ham)_Evapotranspiration_Total
Inflows and Outflows (ham)_Evapotranspiration_NC,Evapotranspiration in non-command areas,PART_OF:Inflows and Outflows (ham)_Evapotranspiration_Total
Inflows and Outflows (ham)_Evapotranspiration_PQ,Evapotranspiration in poor quality areas,PART_OF:Inflows and Outflows (ham)_Evapotranspiration_Total
Inflows and Outflows (ham)_Evapotranspiration_Total,Total groundwater lost by evapotranspiration,PART_OF:Inflows and Outflows (ham)_Total
